DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
24-Nov-2023,EQ,"3,494.25","3,504.55","3,453.00","3,508.25","3,454.00","3,457.10","3,474.52","3,679.00","3,070.25",1989733,"6,91,33,59,986.45",137682
23-Nov-2023,EQ,"3,530.00","3,544.00","3,500.00","3,530.15","3,507.00","3,508.25","3,516.84","3,679.00","3,070.25",2729804,"9,60,02,72,250.30",170315
22-Nov-2023,EQ,"3,500.00","3,532.65","3,481.10","3,510.20","3,530.50","3,530.15","3,510.71","3,679.00","3,070.25",1798051,"6,31,24,27,531.70",121170
21-Nov-2023,EQ,"3,519.60","3,539.05","3,501.00","3,519.60","3,510.00","3,510.20","3,525.61","3,679.00","3,070.25",1807236,"6,37,16,10,015.95",141954
20-Nov-2023,EQ,"3,491.25","3,533.90","3,491.25","3,502.45","3,520.00","3,519.60","3,518.20","3,679.00","3,070.25",1475621,"5,19,15,24,462.85",133758
17-Nov-2023,EQ,"3,497.85","3,524.50","3,492.55","3,497.85","3,499.00","3,502.45","3,510.08","3,679.00","3,070.25",2021292,"7,09,48,91,279.55",159877
16-Nov-2023,EQ,"3,430.05","3,529.35","3,414.20","3,404.30","3,497.00","3,497.85","3,484.46","3,679.00","3,070.25",3951984,"13,77,05,16,229.10",256300
15-Nov-2023,EQ,"3,383.10","3,413.00","3,356.05","3,331.55","3,408.60","3,404.30","3,390.15","3,679.00","3,070.25",2059802,"6,98,30,37,380.85",117652
13-Nov-2023,EQ,"3,356.00","3,356.00","3,327.00","3,357.30","3,332.00","3,331.55","3,333.43","3,679.00","3,070.25",1030990,"3,43,67,31,318.90",92128
12-Nov-2023,EQ,"3,350.00","3,359.00","3,345.00","3,333.45","3,358.90","3,357.30","3,355.70","3,679.00","3,070.25",173346,"58,16,97,254.35",22226
10-Nov-2023,EQ,"3,338.00","3,347.45","3,322.35","3,347.45","3,341.00","3,333.45","3,331.70","3,679.00","3,070.25",1338557,"4,45,96,65,543.60",93667
09-Nov-2023,EQ,"3,390.10","3,391.50","3,342.05","3,381.55","3,350.00","3,347.45","3,363.59","3,679.00","3,070.25",2112352,"7,10,50,80,612.55",146431
08-Nov-2023,EQ,"3,371.45","3,401.95","3,369.55","3,370.45","3,382.65","3,381.55","3,387.91","3,679.00","3,070.25",992899,"3,36,38,52,490.70",91615
07-Nov-2023,EQ,"3,378.00","3,404.15","3,366.00","3,380.25","3,371.55","3,370.45","3,378.26","3,679.00","3,070.25",1191144,"4,02,39,94,967.20",82322
06-Nov-2023,EQ,"3,375.00","3,392.30","3,359.00","3,350.90","3,385.00","3,380.25","3,374.03","3,679.00","3,070.25",1099852,"3,71,09,28,578.40",69041
03-Nov-2023,EQ,"3,382.00","3,387.90","3,344.30","3,360.10","3,351.00","3,350.90","3,362.79","3,679.00","3,070.25",1402598,"4,71,66,46,465.75",111516
02-Nov-2023,EQ,"3,343.20","3,375.95","3,343.20","3,330.65","3,363.00","3,360.10","3,363.98","3,679.00","3,070.25",1245384,"4,18,94,48,412.50",97073
01-Nov-2023,EQ,"3,355.00","3,371.60","3,311.00","3,368.75","3,311.40","3,330.65","3,347.22","3,679.00","3,070.25",1563475,"5,23,32,96,947.80",112623
31-Oct-2023,EQ,"3,399.00","3,399.00","3,350.05","3,378.55","3,371.80","3,368.75","3,368.00","3,679.00","3,070.25",999811,"3,36,73,64,685.15",109355
30-Oct-2023,EQ,"3,350.00","3,382.85","3,333.75","3,350.95","3,381.00","3,378.55","3,368.57","3,679.00","3,070.25",910972,"3,06,86,72,170.25",74251
27-Oct-2023,EQ,"3,350.00","3,362.00","3,337.00","3,336.75","3,350.00","3,350.95","3,351.03","3,679.00","3,070.25",1108851,"3,71,57,95,757.45",112673
26-Oct-2023,EQ,"3,368.05","3,373.70","3,330.00","3,390.10","3,331.80","3,336.75","3,346.35","3,679.00","3,070.25",1984471,"6,64,07,34,038.60",203800
25-Oct-2023,EQ,"3,390.50","3,425.00","3,377.20","3,410.15","3,390.55","3,390.10","3,398.15","3,679.00","3,070.25",1518537,"5,16,02,13,346.45",133032
23-Oct-2023,EQ,"3,473.00","3,478.95","3,401.30","3,494.55","3,409.15","3,410.15","3,442.60","3,679.00","3,070.25",1106272,"3,80,84,55,848.35",126787
20-Oct-2023,EQ,"3,450.40","3,499.50","3,444.05","3,455.65","3,491.85","3,494.55","3,485.40","3,679.00","3,070.25",1481211,"5,16,26,09,717.10",142361
19-Oct-2023,EQ,"3,469.50","3,476.85","3,451.90","3,487.25","3,454.80","3,455.65","3,461.86","3,679.00","3,070.25",1514545,"5,24,31,45,783.65",164438
18-Oct-2023,EQ,"3,511.00","3,522.70","3,484.00","3,507.05","3,492.50","3,487.25","3,500.28","3,679.00","3,070.25",1408245,"4,92,92,45,451.05",147692
17-Oct-2023,EQ,"3,530.00","3,534.15","3,503.35","3,524.05","3,509.00","3,507.05","3,516.16","3,679.00","3,070.25",1672065,"5,87,92,54,819.95",125942
16-Oct-2023,EQ,"3,566.00","3,574.65","3,519.10","3,570.85","3,521.00","3,524.05","3,539.03","3,679.00","3,070.25",1671104,"5,91,40,86,791.50",162600
13-Oct-2023,EQ,"3,530.00","3,577.00","3,525.00","3,542.55","3,574.30","3,570.85","3,562.28","3,679.00","3,005.00",2890357,"10,29,62,67,661.05",262330
12-Oct-2023,EQ,"3,575.00","3,588.65","3,538.10","3,609.90","3,543.00","3,542.55","3,555.40","3,679.00","3,005.00",4241281,"15,07,94,40,683.50",314201
11-Oct-2023,EQ,"3,650.00","3,650.00","3,605.00","3,628.90","3,613.00","3,609.90","3,625.72","3,679.00","3,005.00",2426417,"8,79,75,00,442.75",151957
10-Oct-2023,EQ,"3,640.05","3,648.00","3,601.35","3,638.35","3,629.50","3,628.90","3,623.90","3,679.00","3,005.00",1848148,"6,69,75,11,578.25",170957
09-Oct-2023,EQ,"3,645.05","3,679.00","3,631.00","3,621.40","3,633.00","3,638.35","3,652.75","3,679.00","3,005.00",4233074,"15,46,23,57,801.50",337303
06-Oct-2023,EQ,"3,591.00","3,634.95","3,575.05","3,589.35","3,621.25","3,621.40","3,606.29","3,634.95","2,974.00",2075691,"7,48,55,47,134.95",157117
05-Oct-2023,EQ,"3,554.00","3,624.00","3,551.20","3,537.75","3,590.00","3,589.35","3,589.48","3,633.75","2,974.00",2990768,"10,73,53,00,327.60",195202
04-Oct-2023,EQ,"3,486.30","3,548.00","3,477.30","3,513.85","3,545.00","3,537.75","3,504.95","3,633.75","2,974.00",1788138,"6,26,73,37,422.00",102259
03-Oct-2023,EQ,"3,534.20","3,534.20","3,480.10","3,528.60","3,507.10","3,513.85","3,508.19","3,633.75","2,974.00",1948148,"6,83,44,65,531.05",134041
29-Sep-2023,EQ,"3,537.20","3,568.45","3,505.55","3,536.75","3,525.00","3,528.60","3,536.95","3,633.75","2,926.10",2243791,"7,93,61,67,438.85",134776
28-Sep-2023,EQ,"3,600.00","3,602.80","3,527.35","3,589.30","3,549.00","3,536.75","3,558.09","3,633.75","2,926.10",1755753,"6,24,71,35,882.45",127091
27-Sep-2023,EQ,"3,590.00","3,614.00","3,555.70","3,585.70","3,586.00","3,589.30","3,587.16","3,633.75","2,926.10",1541134,"5,52,82,96,992.85",104230
26-Sep-2023,EQ,"3,567.60","3,594.95","3,536.00","3,577.15","3,590.00","3,585.70","3,561.51","3,633.75","2,926.10",1726062,"6,14,73,86,173.95",113798
