DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
02-Nov-20,EQ,"2,660.00","2,664.85","2,600.05","2,664.85","2,608.00","2,604.60","2,618.15","2,885.00","1,506.05",2571196,"6,73,17,84,552.10",117447
30-Oct-20,EQ,"2,636.10","2,674.35","2,621.60","2,632.65","2,663.55","2,664.85","2,654.92","2,885.00","1,506.05",3427003,"9,09,84,15,228.85",120277
29-Oct-20,EQ,"2,608.00","2,655.00","2,600.25","2,622.20","2,632.10","2,632.65","2,634.88","2,885.00","1,506.05",3105970,"8,18,38,60,034.10",121416
28-Oct-20,EQ,"2,650.00","2,655.95","2,606.00","2,630.15","2,619.50","2,622.20","2,625.65","2,885.00","1,506.05",3569515,"9,37,22,92,382.95",143177
27-Oct-20,EQ,"2,699.75","2,718.15","2,624.10","2,688.20","2,634.80","2,630.15","2,654.79","2,885.00","1,506.05",3537594,"9,39,15,82,219.20",172659
26-Oct-20,EQ,"2,689.95","2,709.95","2,670.50","2,686.80","2,690.10","2,688.20","2,694.09","2,885.00","1,506.05",2672766,"7,20,06,73,675.90",101255
23-Oct-20,EQ,"2,687.80","2,702.00","2,670.10","2,671.15","2,687.00","2,686.80","2,687.39","2,885.00","1,506.05",3499372,"9,40,41,77,977.30",124614
22-Oct-20,EQ,"2,661.00","2,686.65","2,638.10","2,675.40","2,672.90","2,671.15","2,664.97","2,885.00","1,506.05",5262311,"14,02,39,11,495.40",167510
21-Oct-20,EQ,"2,739.00","2,749.00","2,663.05","2,739.00","2,678.00","2,675.40","2,700.88","2,885.00","1,506.05",4570175,"12,34,34,84,213.25",207866
20-Oct-20,EQ,"2,725.00","2,759.90","2,717.95","2,711.55","2,739.00","2,739.00","2,743.85","2,885.00","1,506.05",3406298,"9,34,63,83,058.65",137012
19-Oct-20,EQ,"2,774.00","2,774.00","2,706.60","2,763.30","2,714.80","2,711.55","2,723.63","2,885.00","1,506.05",3331194,"9,07,29,49,037.95",151449
16-Oct-20,EQ,"2,750.10","2,771.65","2,731.30","2,740.60","2,757.00","2,763.30","2,756.34","2,885.00","1,506.05",5273773,"14,53,63,28,866.35",111405
15-Oct-20,EQ,"2,811.00","2,827.75","2,727.00","2,809.60","2,734.00","2,740.60","2,757.66","2,885.00","1,506.05",6629395,"18,28,15,95,593.85",190209
14-Oct-20,EQ,"2,842.00","2,842.00","2,787.55","2,826.55","2,810.00","2,809.60","2,808.82","2,885.00","1,506.05",4395979,"12,34,75,02,777.85",143887
13-Oct-20,EQ,"2,845.00","2,854.90","2,812.20","2,830.00","2,830.50","2,826.55","2,834.44","2,885.00","1,506.05",4209905,"11,93,27,43,666.45",156554
12-Oct-20,EQ,"2,815.50","2,854.00","2,800.75","2,812.95","2,826.15","2,830.00","2,832.22","2,885.00","1,506.05",4623211,"13,09,39,42,156.10",164934
09-Oct-20,EQ,"2,810.00","2,829.85","2,780.00","2,825.70","2,811.00","2,812.95","2,804.80","2,885.00","1,506.05",7739375,"21,70,74,26,130.55",239979
08-Oct-20,EQ,"2,800.00","2,885.00","2,800.00","2,735.95","2,818.45","2,825.70","2,855.52","2,885.00","1,506.05",19839826,"56,65,30,99,950.90",542541
07-Oct-20,EQ,"2,742.00","2,770.00","2,703.00","2,714.30","2,752.80","2,735.95","2,728.88","2,770.00","1,506.05",9656167,"26,35,05,62,848.35",306556
06-Oct-20,EQ,"2,736.00","2,736.00","2,650.10","2,705.80","2,718.00","2,714.30","2,688.29","2,736.00","1,506.05",9846376,"26,46,99,33,698.35",308149
05-Oct-20,EQ,"2,620.00","2,728.10","2,603.05","2,523.45","2,713.95","2,705.80","2,670.27","2,728.10","1,506.05",17412119,"46,49,51,13,781.25",495784
01-Oct-20,EQ,"2,510.00","2,540.00","2,492.30","2,492.30","2,540.00","2,523.45","2,508.29","2,555.00","1,506.05",2610338,"6,54,74,81,501.45",103469
30-Sep-20,EQ,"2,489.00","2,505.00","2,460.00","2,488.40","2,483.00","2,492.30","2,485.20","2,555.00","1,506.05",3917186,"9,73,49,91,232.35",133456
29-Sep-20,EQ,"2,434.85","2,511.05","2,426.30","2,426.30","2,486.75","2,488.40","2,489.18","2,555.00","1,506.05",6995815,"17,41,38,46,658.10",235653
